지 역,,,2016년 01월,,2016년 02월,,2016년 03월,,2016년 04월,,2016년 05월,,2016년 06월,,2016년 07월,,2016년 08월,,2016년 09월,,2016년 10월,,2016년 11월,,2016년 12월,,2017년 01월,,2017년 02월,,2017년 03월,,2017년 04월,,2017년 05월,,2017년 06월,,2017년 07월,,2017년 08월,,2017년 09월,,2017년 10월,,2017년 11월,,2017년 12월,,2018년 01월,,2018년 02월,,2018년 03월,,2018년 04월,,2018년 05월,,2018년 06월,,2018년 07월,,2018년 08월,,2018년 09월,,2018년 10월,,2018년 11월,,2018년 12월,
,,백석동,0.113,0.113,0.48,0.593,0.487,1.083,0.301,1.387,0.652,2.048,0.735,2.799,0.405,3.215,0.027,3.243,-0.191,3.046,-0.083,2.961,0.046,3.008,0.021,3.029,0.065,0.065,0.288,0.353,0.037,0.39,0.191,0.582,0.316,0.9,0.262,1.164,0.147,1.313,1.629,2.963,-0.073,2.888,0.405,3.305,0.21,3.522,0.191,3.72,0.217,0.217,0.154,0.371,0.291,0.663,0.33,0.996,0.178,1.176,0.4,1.581,0.753,2.345,0.583,2.942,1.117,4.092,1.996,6.169,0.317,6.506,0.089,6.6
,,시천동,0.113,0.113,0.48,0.593,0.487,1.083,0.301,1.387,0.652,2.048,0.735,2.799,0.405,3.215,0.027,3.243,-0.191,3.046,-0.083,2.961,0.046,3.008,0.021,3.029,0.065,0.065,0.288,0.353,0.037,0.39,0.191,0.582,0.316,0.9,0.262,1.164,0.147,1.313,1.629,2.963,-0.073,2.888,0.405,3.305,0.21,3.522,0.191,3.72,0.217,0.217,0.154,0.371,0.291,0.663,0.33,0.996,0.178,1.176,0.4,1.581,0.753,2.345,0.583,2.942,1.117,4.092,1.996,6.169,0.317,6.506,0.089,6.6
,,검암동,0.113,0.113,0.48,0.593,0.487,1.083,0.301,1.387,0.652,2.048,0.735,2.799,0.405,3.215,0.027,3.243,-0.191,3.046,-0.083,2.961,0.046,3.008,0.021,3.029,0.065,0.065,0.288,0.353,0.037,0.39,0.191,0.582,0.316,0.9,0.262,1.164,0.147,1.313,1.629,2.963,-0.073,2.888,0.405,3.305,0.21,3.522,0.191,3.72,0.217,0.217,0.154,0.371,0.291,0.663,0.33,0.996,0.178,1.176,0.4,1.581,0.753,2.345,0.583,2.942,1.117,4.092,1.996,6.169,0.317,6.506,0.089,6.6
,,경서동,0.031,0.031,0.122,0.153,0.156,0.309,0.48,0.79,0.356,1.148,0.137,1.286,0.299,1.589,0.3,1.894,0.266,2.165,0.121,2.288,0.071,2.361,0.076,2.439,0.151,0.151,0.381,0.533,0.302,0.836,0.098,0.935,0.271,1.209,0.096,1.306,0.375,1.686,0.268,1.959,0.42,2.387,0.141,2.531,0.174,2.71,0.246,2.963,0.252,0.252,0.255,0.508,0.346,0.855,0.294,1.152,0.387,1.543,0.409,1.958,0.305,2.269,0.05,2.32,0.264,2.59,0.317,2.915,0.984,3.928,0.219,4.155
,,공촌동,0.344,0.344,0.584,0.93,0.023,0.953,0.391,1.348,-0.021,1.327,0.46,1.793,0.399,2.2,0.204,2.408,0.274,2.689,0.104,2.796,0.061,2.858,0.244,3.109,0.097,0.097,0.478,0.576,0.285,0.862,0.064,0.927,0.187,1.115,0.26,1.379,1.462,2.861,0.191,3.058,0.527,3.6,0.222,3.831,0.404,4.251,0.24,4.501,0.127,0.127,0.3,0.428,0.252,0.681,0.154,0.835,0.42,1.259,0.298,1.561,0.672,2.243,0,2.243,0.024,2.268,0.025,2.294,0.251,2.551,0.313,2.871
,,연희동,0.344,0.344,0.584,0.93,0.023,0.953,0.391,1.348,-0.021,1.327,0.46,1.793,0.399,2.2,0.204,2.408,0.274,2.689,0.104,2.796,0.061,2.858,0.244,3.109,0.097,0.097,0.478,0.576,0.285,0.862,0.064,0.927,0.187,1.115,0.26,1.379,1.462,2.861,0.191,3.058,0.527,3.6,0.222,3.831,0.404,4.251,0.24,4.501,0.127,0.127,0.3,0.428,0.252,0.681,0.154,0.835,0.42,1.259,0.298,1.561,0.672,2.243,0,2.243,0.024,2.268,0.025,2.294,0.251,2.551,0.313,2.871
,,심곡동,0.344,0.344,0.584,0.93,0.023,0.953,0.391,1.348,-0.021,1.327,0.46,1.793,0.399,2.2,0.204,2.408,0.274,2.689,0.104,2.796,0.061,2.858,0.244,3.109,0.097,0.097,0.478,0.576,0.285,0.862,0.064,0.927,0.187,1.115,0.26,1.379,1.462,2.861,0.191,3.058,0.527,3.6,0.222,3.831,0.404,4.251,0.24,4.501,0.127,0.127,0.3,0.428,0.252,0.681,0.154,0.835,0.42,1.259,0.298,1.561,0.672,2.243,0,2.243,0.024,2.268,0.025,2.294,0.251,2.551,0.313,2.871
,,가정동,-0.024,-0.024,0.172,0.148,0.203,0.352,0.76,1.115,0.502,1.622,0.327,1.954,0.321,2.282,0.42,2.711,0.275,2.993,0.134,3.131,0.071,3.204,0.112,3.319,0.107,0.107,0.138,0.245,0.167,0.413,0.228,0.641,0.477,1.122,0.058,1.181,0.773,1.963,0.373,2.343,0.475,2.83,0.28,3.118,0.057,3.176,0.382,3.571,0.193,0.193,0.247,0.441,0.36,0.802,0.292,1.097,0.183,1.282,0.434,1.722,0.396,2.125,0.233,2.363,0.458,2.832,0.939,3.797,0.132,3.934,0.544,4.499
,,신현동,0.077,0.077,0.03,0.107,0.112,0.219,0.449,0.669,0.082,0.752,0.137,0.89,0.11,1.001,0.16,1.163,0.053,1.216,0.012,1.228,0.049,1.277,0.042,1.32,0.098,0.098,0.171,0.269,0.202,0.472,0.098,0.571,0.302,0.875,0.44,1.318,-0.018,1.3,-0.093,1.206,0.154,1.362,0.65,2.021,0.341,2.369,0.221,2.595,0.15,0.15,0.143,0.293,0.309,0.603,0.281,0.886,0.372,1.261,0.254,1.518,0,1.518,0.275,1.798,0.5,2.306,0,2.306,0.195,2.506,0.18,2.69
,,석남동,0.078,0.078,0.074,0.153,0.13,0.283,0.203,0.486,0.149,0.635,0.118,0.754,0.374,1.131,0.1,1.232,0.098,1.331,0.025,1.357,0.07,1.428,0.041,1.47,0.085,0.085,0.274,0.359,0.159,0.519,0.071,0.59,0.164,0.755,0.793,1.553,0.415,1.975,0.151,2.129,0.605,2.747,0.344,3.101,0.401,3.515,0.161,3.681,0.32,0.32,0.234,0.555,0.398,0.955,0.291,1.249,0.465,1.72,0.37,2.096,0.128,2.227,0.744,2.988,1.135,4.156,0.648,4.831,1.224,6.114,0.299,6.431
,,원창동,0.077,0.077,0.03,0.107,0.112,0.219,0.449,0.669,0.082,0.752,0.137,0.89,0.11,1.001,0.16,1.163,0.053,1.216,0.012,1.228,0.049,1.277,0.042,1.32,0.098,0.098,0.171,0.269,0.202,0.472,0.098,0.571,0.302,0.875,0.44,1.318,-0.018,1.3,-0.093,1.206,0.154,1.362,0.65,2.021,0.341,2.369,0.221,2.595,0.15,0.15,0.143,0.293,0.309,0.603,0.281,0.886,0.372,1.261,0.254,1.518,0,1.518,0.275,1.798,0.5,2.306,0,2.306,0.195,2.506,0.18,2.69
,,가좌동,0.015,0.015,0.09,0.105,0.034,0.139,0.205,0.344,0.029,0.373,0.201,0.575,0.123,0.699,0.221,0.922,0.124,1.047,0.042,1.089,0.246,1.338,0.048,1.387,0.068,0.068,0.119,0.187,0.459,0.647,0.341,0.99,0.159,1.15,0.394,1.549,0.367,1.922,0.543,2.476,0.812,3.307,0.837,4.172,0.187,4.367,0.32,4.701,0.364,0.364,0.191,0.556,0.14,0.696,0.323,1.021,0.146,1.169,0.544,1.719,0.347,2.073,0.169,2.245,0.855,3.12,0.635,3.775,0.178,3.96,0.194,4.161
,,마전동,0.469,0.469,0.095,0.565,-0.034,0.531,0.1,0.632,0.115,0.747,0.41,1.161,0.184,1.347,-0.034,1.312,0.272,1.588,0.029,1.618,0.271,1.893,0.042,1.936,0.281,0.281,0.563,0.846,0.242,1.09,0.184,1.275,0.466,1.747,0.424,2.179,0.032,2.212,0.157,2.373,-0.02,2.353,0.221,2.579,0.169,2.752,0.298,3.058,0.339,0.339,0.191,0.532,0.338,0.871,0.488,1.364,0.425,1.794,0.159,1.956,0.003,1.959,0.16,2.122,0.606,2.741,0.461,3.214,0.014,3.229,0.082,3.313
,,당하동,0.469,0.469,0.095,0.565,-0.034,0.531,0.1,0.632,0.115,0.747,0.41,1.161,0.184,1.347,-0.034,1.312,0.272,1.588,0.029,1.618,0.271,1.893,0.042,1.936,0.281,0.281,0.563,0.846,0.242,1.09,0.184,1.275,0.466,1.747,0.424,2.179,0.032,2.212,0.157,2.373,-0.02,2.353,0.221,2.579,0.169,2.752,0.298,3.058,0.339,0.339,0.191,0.532,0.338,0.871,0.488,1.364,0.425,1.794,0.159,1.956,0.003,1.959,0.16,2.122,0.606,2.741,0.461,3.214,0.014,3.229,0.082,3.313
,,원당동,0.202,0.202,0.08,0.282,0.067,0.35,0.145,0.496,0.476,0.974,0.636,1.617,0.241,1.862,-0.098,1.762,0.358,2.126,-0.044,2.081,0.079,2.162,0.104,2.268,0.067,0.067,0.174,0.241,0.127,0.368,0.299,0.667,0.118,0.786,0.628,1.42,0.094,1.514,-0.045,1.468,0.293,1.766,0.344,2.116,0.093,2.211,0.196,2.411,0.436,0.436,0.256,0.694,0.283,0.978,0.096,1.075,0.162,1.239,0.563,1.808,0,1.808,0.221,2.034,0,2.034,0.759,2.808,0,2.808,0.149,2.961
,,대곡동,0.222,0.222,0.515,0.738,-0.079,0.658,0.341,1.001,-0.156,0.844,0.404,1.251,0.055,1.306,0.061,1.368,-0.035,1.333,-0.05,1.282,0.482,1.771,0.055,1.827,0.343,0.343,0.333,0.677,0.324,1.002,0.037,1.039,0.007,1.046,0.518,1.57,0.211,1.784,0.103,1.889,0.258,2.152,0.443,2.605,0.108,2.716,0.234,2.955,0.253,0.253,0.323,0.578,0.354,0.934,0.324,1.261,0.26,1.524,0.3,1.829,0.29,2.124,0.074,2.2,0.094,2.296,0.183,2.483,0.159,2.646,0.185,2.837
,,금곡동,0.222,0.222,0.515,0.738,-0.079,0.658,0.341,1.001,-0.156,0.844,0.404,1.251,0.055,1.306,0.061,1.368,-0.035,1.333,-0.05,1.282,0.482,1.771,0.055,1.827,0.343,0.343,0.333,0.677,0.324,1.002,0.037,1.039,0.007,1.046,0.518,1.57,0.211,1.784,0.103,1.889,0.258,2.152,0.443,2.605,0.108,2.716,0.234,2.955,0.253,0.253,0.323,0.578,0.354,0.934,0.324,1.261,0.26,1.524,0.3,1.829,0.29,2.124,0.074,2.2,0.094,2.296,0.183,2.483,0.159,2.646,0.185,2.837
,,오류동,-0.182,-0.182,0.234,0.053,-0.051,0.002,0.366,0.368,-0.21,0.157,0.227,0.384,0.097,0.481,0.385,0.868,0.268,1.139,0.239,1.38,0.477,1.864,0.078,1.943,0.222,0.222,0.14,0.362,0.13,0.493,0.151,0.644,0.744,1.393,0.142,1.537,0.346,1.889,0.172,2.063,0.217,2.285,0.344,2.637,0.396,3.044,0.197,3.246,0.28,0.28,0.309,0.589,0.314,0.905,0.291,1.198,0.276,1.478,0.251,1.732,0.293,2.03,0.17,2.204,0.096,2.301,0.114,2.418,0.253,2.677,0.216,2.899
,,왕길동,-0.182,-0.182,0.234,0.053,-0.051,0.002,0.366,0.368,-0.21,0.157,0.227,0.384,0.097,0.481,0.385,0.868,0.268,1.139,0.239,1.38,0.477,1.864,0.078,1.943,0.222,0.222,0.14,0.362,0.13,0.493,0.151,0.644,0.744,1.393,0.142,1.537,0.346,1.889,0.172,2.063,0.217,2.285,0.344,2.637,0.396,3.044,0.197,3.246,0.28,0.28,0.309,0.589,0.314,0.905,0.291,1.198,0.276,1.478,0.251,1.732,0.293,2.03,0.17,2.204,0.096,2.301,0.114,2.418,0.253,2.677,0.216,2.899
,,불로동,0.202,0.202,0.08,0.282,0.067,0.35,0.145,0.496,0.476,0.974,0.636,1.617,0.241,1.862,-0.098,1.762,0.358,2.126,-0.044,2.081,0.079,2.162,0.104,2.268,0.067,0.067,0.174,0.241,0.127,0.368,0.299,0.667,0.118,0.786,0.628,1.42,0.094,1.514,-0.045,1.468,0.293,1.766,0.344,2.116,0.093,2.211,0.196,2.411,0.436,0.436,0.256,0.694,0.283,0.978,0.096,1.075,0.162,1.239,0.563,1.808,0,1.808,0.221,2.034,0,2.034,0.759,2.808,0,2.808,0.149,2.961
,강화군,,0.034,0.034,0.038,0.072,0.105,0.177,0.182,0.359,0.04,0.399,0.081,0.48,0.052,0.533,0.05,0.584,0.128,0.713,0.089,0.802,0.163,0.966,0.129,1.096,0.126,0.126,0.224,0.351,0.26,0.611,0.342,0.956,0.211,1.168,0.294,1.466,0.332,1.803,0.279,2.086,0.247,2.338,0.154,2.496,0.154,2.654,0.144,2.801,0.131,0.131,0.126,0.257,0.172,0.429,0.308,0.738,0.341,1.082,0.417,1.504,0.305,2.269,0.05,2.32,0.264,2.59,0.317,2.915,0.984,3.928,0.219,4.155
,,강화읍,0.104,0.104,0.025,0.129,0.337,0.466,0.233,0.7,0.096,0.796,0.165,0.962,0.141,1.104,0.082,1.187,0.192,1.381,0.164,1.547,0.486,2.04,0.21,2.254,0.023,0.023,0.41,0.433,0.413,0.848,0.162,1.012,0.384,1.4,0.495,1.902,0.342,2.25,0.34,2.598,0.513,3.123,0.088,3.214,0.067,3.283,0.144,2.801,0.131,0.131,0.126,0.257,0.172,0.429,0.308,0.738,0.341,1.082,0.417,1.504,0.457,1.967,0.383,2.358,0.339,2.705,0.428,3.144,0.333,3.488,0.238,3.734
,,선원면,0.284,0.284,0.242,0.527,0.143,0.671,0.352,1.026,0.261,1.29,0.203,1.495,0.114,1.61,0.112,1.724,0.148,1.874,-0.049,1.824,0.175,2.001,0.139,2.143,0.094,0.094,0.142,0.236,0.261,0.497,0.274,0.773,0.146,0.92,0.247,1.169,0.425,1.6,0.381,1.987,0.28,2.273,0.335,2.615,0.302,2.925,0.009,3.292,0.063,0.063,0.179,0.242,0.218,0.46,0.275,0.736,0.408,1.147,0.631,1.785,0.493,2.287,0.507,2.806,0.324,3.139,0.406,3.557,0.165,3.728,0.315,4.055
,,불은면,0.021,0.021,-0.241,-0.22,0.056,-0.165,0.246,0.081,-0.081,0,0.062,0.062,0.074,0.137,0.223,0.36,0.159,0.519,0.246,0.767,0.131,0.899,0.187,1.088,0.109,0.109,0.37,0.479,0.12,0.6,0.336,0.938,0.134,1.074,0.314,1.391,0.394,1.791,0.255,2.05,0.096,2.148,0.193,2.346,0.172,2.521,0.099,3.027,0.247,0.247,0.388,0.636,0.203,0.84,0.357,1.2,0.25,1.453,0.485,1.945,0.364,2.317,0.532,2.861,0.438,3.312,0.382,3.707,0.28,3.997,0.279,4.287
,,길상면,0.017,0.017,0.036,0.053,0.327,0.38,0.044,0.425,0.074,0.499,0.022,0.521,0.033,0.554,0.066,0.62,0.139,0.76,0.011,0.771,0.124,0.896,0.124,1.021,0.171,0.171,0.131,0.302,0.153,0.455,0.339,0.796,0.267,1.065,0.204,1.27,0.394,1.67,0.088,1.76,0.213,1.977,0.024,2.002,0.194,2.199,0.196,2.722,0.129,0.129,0.083,0.213,0.243,0.457,0.234,0.692,0.301,0.995,0.394,1.392,0.358,1.756,0.428,2.191,0.269,2.466,0.504,2.982,0.448,3.444,0.211,3.662
,,화도면,0.142,0.142,-0.006,0.136,0,0.136,0.316,0.453,0.136,0.59,0,0.59,0.048,0.639,0.046,0.685,0.014,0.699,0.045,0.745,0.171,0.917,0.103,1.021,0.157,0.157,0.123,0.28,0.276,0.556,0.229,0.787,0.24,1.029,0.202,1.233,0.317,1.553,0.271,1.828,0.33,2.164,0.266,2.435,0.17,2.609,0.24,2.445,0.239,0.239,0.045,0.284,0.276,0.561,0.184,0.746,0.189,0.936,0.165,1.103,0.535,1.644,0.09,1.735,0.38,2.122,0.238,2.365,0.479,2.856,0.194,3.055
,,양도면,0.161,0.161,0.267,0.428,0,0.428,0.24,0.669,-0.188,0.479,0.235,0.716,0.075,0.791,0,0.791,0.092,0.883,0.361,1.248,0.13,1.38,0.157,1.539,0.125,0.125,-0.001,0.124,0.1,0.224,0.275,0.499,0.161,0.661,0.159,0.821,0.29,1.113,0.411,1.529,0.148,1.679,0.173,1.855,0.104,1.961,0.156,2.769,0.105,0.105,0.037,0.142,0.038,0.18,0.142,0.322,0.2,0.522,0.227,0.75,0.56,1.314,0.414,1.734,0.482,2.224,0.716,2.956,0.518,3.49,0.425,3.929
,,내가면,-0.094,-0.094,0.06,-0.035,0.076,0.042,-0.004,0.038,0.157,0.194,0.021,0.215,0.002,0.217,0,0.217,0.31,0.528,0.198,0.727,0.057,0.785,0.18,0.966,0.368,0.368,0.206,0.575,0.322,0.898,0.342,1.244,0.218,1.464,0.423,1.894,0.27,2.169,0.315,2.491,0.236,2.732,0.16,2.897,0.116,3.017,0.177,2.142,0.054,0.054,0.035,0.089,0.031,0.12,0.23,0.351,0.17,0.522,0.139,0.662,0.558,1.224,0.452,1.681,0.201,1.886,0.847,2.749,0.238,2.993,0.054,3.049
,,하점면,-0.171,-0.171,0.088,-0.083,-0.068,-0.152,0.165,0.013,0.119,0.132,-0.082,0.049,0.02,0.069,-0.258,-0.189,0.018,-0.171,-0.035,-0.206,0.207,0.001,-0.034,-0.033,0.01,0.01,0.066,0.076,-0.355,-0.279,0.09,-0.189,-0.485,-0.673,-0.274,-0.945,0.046,-0.899,0.338,-0.564,0.286,-0.28,0.145,-0.135,0.138,0.003,0.113,3.133,0.068,0.068,0.152,0.22,0.21,0.43,0.246,0.677,0.274,0.952,0.254,1.209,0.227,1.438,0.232,1.673,0.105,1.78,0.355,2.141,0.192,2.337,0.158,2.499
,,양사면,-0.089,-0.089,0.034,-0.055,-0.213,-0.268,0.116,-0.153,-0.132,-0.284,-0.012,-0.296,-0.137,-0.433,0.075,-0.358,0.171,-0.187,-0.147,-0.334,-0.016,-0.35,0.098,-0.252,0.073,0.073,0.053,0.126,-0.225,-0.1,0.434,0.334,0.113,0.447,-0.316,0.129,0.38,0.51,0.245,0.755,-0.082,0.672,0.034,0.706,0.088,0.795,0.076,0.079,0.111,0.111,0.198,0.309,0.216,0.526,0.252,0.779,0.123,0.903,0.137,1.041,0.271,1.314,0.493,1.814,0.202,2.02,0.205,2.229,0.282,2.517,0.157,2.678
,,송해면,-0.106,-0.106,-0.066,-0.173,-0.05,-0.223,0.208,-0.015,0.106,0.091,0.089,0.181,0.076,0.257,0.004,0.261,0.152,0.413,-0.158,0.255,0.065,0.32,-0.146,0.174,0.066,0.066,0.307,0.374,0.279,0.654,0.241,0.896,0.387,1.287,0.531,1.825,0.35,2.181,0.206,2.391,0.315,2.714,0.092,2.808,0.088,2.898,0.086,0.882,0.091,0.091,0.238,0.33,0.201,0.532,0.62,1.155,0.862,2.026,1.016,3.063,0.458,3.535,0.33,3.877,0.064,3.943,0.163,4.113,0.259,4.382,0.085,4.471
,,교동면,-0.15,-0.15,0.062,-0.088,0.009,-0.079,-0.027,-0.106,-0.153,-0.259,0.139,-0.12,0.016,-0.104,0.098,-0.006,0.058,0.052,0.023,0.074,0.076,0.151,0.161,0.312,0.158,0.158,0.266,0.424,0.263,0.689,0.278,0.968,-0.014,0.954,0.016,0.97,0.188,1.16,0.08,1.241,-0.251,0.986,0.039,1.025,0.058,1.084,0.048,2.947,-0.08,-0.08,0.041,-0.039,0.163,0.124,0.807,0.932,0.749,1.688,0.849,2.551,0.346,2.906,0.447,3.366,0.129,3.499,0.282,3.791,0.205,4.004,0.111,4.12
,,삼산면,0.017,0.017,0.049,0.066,0,0.066,0.245,0.311,-0.044,0.267,0.078,0.345,0.003,0.348,0,0.348,0.09,0.439,0.187,0.627,-0.043,0.584,0.177,0.762,0.197,0.197,0.559,0.757,1.446,2.214,1.437,3.682,0.71,4.418,1.292,5.767,0.454,6.247,0.538,6.819,0.526,7.381,0.372,7.78,0.314,8.119,0.099,1.184,0.007,0.007,-0.078,-0.071,0.12,0.049,0.881,0.93,0.982,1.921,1.137,3.08,0.95,4.058,0.727,4.815,0.692,5.54,0.676,6.254,0.52,6.806,0.413,7.247
,,서도면,-0.073,-0.073,0,-0.073,0,-0.073,0.206,0.133,-0.011,0.122,0.141,0.264,0.005,0.269,0.152,0.422,0.097,0.519,-0.073,0.445,0.084,0.529,0.048,0.577,0.118,0.118,0.061,0.179,-0.196,-0.017,0.141,0.124,0.179,0.303,0.153,0.457,0.114,0.572,0.361,0.935,0.161,1.097,0.196,1.295,0.079,1.375,0.325,8.47,0.373,0.373,0.307,0.681,0,0.681,0.165,0.847,0.297,1.146,0.277,1.426,0.202,1.631,0.179,1.813,0.55,2.373,0.27,2.65,0.212,2.868,0.306,3.182
,옹진군,,0.064,0.064,-0.079,-0.015,0.117,0.102,-0.011,0.091,0.066,0.157,0.14,0.298,0.194,0.492,0.214,0.707,0.105,0.813,0.138,0.952,0.101,1.054,-0.103,0.95,-0.092,-0.092,-0.025,-0.117,0.566,0.448,0.184,0.634,0.189,0.824,0.173,0.998,0.197,1.197,0.152,1.351,0.146,1.5,0.061,1.562,0.2,1.765,0.152,1.529,0.126,0.126,0.275,0.402,0.188,0.591,0.122,0.714,0.069,0.784,0.154,0.939,0.196,1.137,0.174,1.313,0.17,1.486,0.06,1.547,0.187,1.737,0.099,1.837
,,북도면,-0.019,-0.019,-0.115,-0.133,0.185,0.051,-0.052,-0.001,0.201,0.2,0.17,0.371,-0.012,0.359,0.358,0.719,0.252,0.972,0.145,1.118,0.123,1.243,-0.124,1.117,-0.115,-0.115,-0.1,-0.215,0.19,-0.026,0.226,0.2,0.209,0.41,0.401,0.812,0.138,0.951,0.161,1.113,0.216,1.332,0.414,1.751,0.358,2.116,0.184,1.952,0.032,0.032,0.184,0.216,0.167,0.383,0.189,0.572,0.154,0.728,0.168,0.896,0.164,1.062,0.148,1.212,0.339,1.554,0.306,1.866,0.151,2.02,0.235,2.259
,,백령면,-0.106,-0.106,0.256,0.15,-0.069,0.081,0.11,0.191,0.153,0.344,0.093,0.438,0.356,0.796,-0.082,0.713,0.074,0.788,0.038,0.826,0.076,0.903,-0.106,0.796,-0.049,-0.049,-0.081,-0.13,0.059,-0.071,0.074,0.003,-0.098,-0.095,-0.088,-0.183,0.018,-0.165,-0.122,-0.287,-0.169,-0.455,-0.142,-0.597,0.276,-0.322,0.128,2.247,0.077,0.077,0.115,0.193,0.169,0.362,0.182,0.545,0.177,0.724,0.178,0.903,0.04,0.943,0.265,1.21,0.456,1.672,0.395,2.073,-0.178,1.891,-0.219,1.668
,,대청면,-0.025,-0.025,0.111,0.085,0,0.085,0.036,0.122,0.003,0.125,0.034,0.159,0.202,0.361,-0.085,0.275,0.234,0.51,0.204,0.715,0.039,0.754,-0.074,0.679,-0.067,-0.067,0,-0.067,0.082,0.015,0.013,0.028,-0.209,-0.181,-0.128,-0.309,0.068,-0.241,-0.122,-0.363,-0.05,-0.413,-0.064,-0.477,0.147,-0.331,0.24,-0.083,0.051,0.051,0.114,0.165,0.161,0.327,0.128,0.455,0.155,0.61,0.137,0.748,-0.089,0.659,0.427,1.089,0.86,1.959,0.823,2.798,0.237,3.042,1.075,4.15
,,덕적면,0.178,0.178,-0.138,0.04,0.054,0.094,-0.071,0.023,0.101,0.124,0.081,0.205,0.254,0.459,-0.043,0.416,0.167,0.584,0.199,0.784,0.03,0.814,-0.157,0.656,-0.064,-0.064,0.068,0.004,0.082,0.086,0.135,0.221,0.176,0.398,-0.031,0.367,0.29,0.658,-0.027,0.631,-0.092,0.539,0.193,0.733,-0.083,0.65,0.101,-0.23,0.218,0.218,-0.027,0.191,0.126,0.317,0.125,0.442,0.061,0.504,0.113,0.617,0.016,0.633,-0.428,0.203,0.027,0.23,0.549,0.78,0.903,1.69,0.345,2.041
,,영흥면,0.159,0.159,-0.092,0.067,0.096,0.163,-0.01,0.153,-0.047,0.106,0.133,0.239,0.323,0.563,0.202,0.767,0.052,0.819,0.14,0.961,0.104,1.065,-0.101,0.963,-0.094,-0.094,0.017,-0.077,0.888,0.81,0.196,1.007,0.215,1.224,0.108,1.333,0.245,1.582,0.199,1.784,0.176,1.963,-0.13,1.831,0.134,1.967,0.187,0.838,0.006,0.006,0.067,0.073,0.172,0.244,0.123,0.368,0.131,0.499,0.123,0.622,0.379,1.003,-0.266,0.734,0.414,1.151,0.428,1.584,0.999,2.599,1.013,3.638
,,자월면,-0.109,-0.109,-0.034,-0.143,0.126,-0.017,0.183,0.166,0.022,0.188,0.153,0.341,0.216,0.558,-0.063,0.495,-0.49,0.002,0.112,0.114,0.042,0.156,0.074,0.23,-0.011,-0.011,0.093,0.082,-0.004,0.078,-0.013,0.065,0.242,0.307,0.055,0.362,0.194,0.557,0.097,0.655,-0.038,0.617,0.275,0.893,0.175,1.07,0.204,2.175,0.006,0.006,0.246,0.252,0.17,0.422,0.211,0.634,0.153,0.788,0.175,0.964,0.245,1.212,0.112,1.326,0.213,1.541,0.202,1.746,0.223,1.973,0.272,2.25
,,연평면,-0.181,-0.181,-0.123,-0.304,0.025,-0.279,0.181,-0.099,0.141,0.042,-0.114,-0.072,0.238,0.166,0,0.166,-0.006,0.16,0.008,0.168,0.02,0.189,-0.083,0.105,-0.025,-0.025,-0.086,-0.111,0.822,0.71,0.081,0.792,-0.046,0.746,0.041,0.787,0,0.787,-0.129,0.657,0.071,0.728,0,0.728,0.109,0.838,0.223,1.296,0.036,0.036,0.128,0.165,0.117,0.282,0.119,0.401,0.082,0.483,0.119,0.603,0.163,0.766,0.081,0.848,0.776,1.631,0.146,1.779,0.446,2.232,0.716,2.964
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326,1.166,0.063,0.063,0.059,0.123,0.123,0.245,0.123,0.369,0.056,0.425,0.113,0.539,-0.136,0.403,-0.228,0.174,-0.566,-0.393,0.846,0.45,0.259,0.71,1.842,2.565
